"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind","TxCC"
"1","Channel 1","446.32500","446.32500","A-Analog","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"2","Channel 2","446.52500","446.52500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"3","Channel 3","446.57500","446.57500","A+D TX A","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"4","Channel 4","446.87500","446.87500","D+A TX D","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"5","Channel 5","144.52500","144.52500","A-Analog","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"6","Channel 6","145.32500","145.32500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"7","Channel 7","145.57500","145.57500","A+D TX A","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"8","Channel 8","145.87500","145.87500","D+A TX D","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"13","144.39 APRS","144.39000","144.39000","A-Analog","High","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","On","Off","Off","Analog","1","0","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"4001","Channel VFO A","446.12500","446.12500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
"4002","Channel VFO B","145.12500","145.12500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0","1"
